symptom,description,source,relevant_diseases
fever,"Elevated body temperature (any level)","WHO","Dengue,Malaria,Typhoid,Chikungunya,Viral Fever"
high_fever,"Fever ≥39°C / very high temperature","WHO","Dengue,Malaria,Chikungunya"
sudden_onset,"Abrupt/sudden start of fever","WHO","Dengue,Chikungunya,Malaria"
headache,"Pain in the head","WHO","Dengue,Malaria,Typhoid,Chikungunya,Viral Fever"
severe_headache,"Intense or debilitating headache","WHO","Dengue,Malaria"
chills,"Episodes of shivering or feeling very cold","WHO","Malaria,Viral Fever"
sweating,"Profuse sweating episodes","WHO","Malaria,Typhoid"
body_pain,"General body aches and pains","WHO","Dengue,Malaria,Chikungunya,Viral Fever"
muscle_pain,"Pain specifically in muscles (myalgia)","WHO","Dengue,Chikungunya,Viral Fever"
joint_pain,"Pain affecting one or more joints (arthralgia)","WHO","Dengue,Chikungunya"
severe_joint_pain,"Incapacitating joint pain — hallmark of Chikungunya","WHO","Chikungunya"
pain_behind_eyes,"Retro-orbital pain — pain located behind the eyes","WHO","Dengue"
rash,"Skin eruption or rash on body","WHO","Dengue,Chikungunya,Viral Fever"
nausea,"Feeling of sickness or queasiness","WHO","Dengue,Typhoid,Chikungunya,Viral Fever"
vomiting,"Expelling stomach contents","WHO","Dengue,Typhoid,Malaria"
abdominal_pain,"Pain in the abdomen","WHO","Typhoid,Dengue"
diarrhea,"Loose or watery stools","WHO","Typhoid,Viral Fever"
constipation,"Difficulty or inability to pass stool","WHO","Typhoid"
cough,"Dry or wet cough","WHO","Viral Fever"
sore_throat,"Throat irritation or pain","WHO","Viral Fever"
runny_nose,"Nasal discharge","WHO","Viral Fever"
fatigue,"Unusual or extreme tiredness","WHO","Dengue,Malaria,Chikungunya,Typhoid,Viral Fever"
weakness,"General weakness or lethargy","WHO","Dengue,Malaria,Typhoid,Viral Fever"
swollen_lymph_nodes,"Enlarged or swollen lymph glands","WHO","Dengue,Viral Fever"
loss_of_appetite,"Reduced desire to eat (anorexia)","WHO","Typhoid,Dengue,Malaria"
